"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2242","RT @nelsonvijay08: <U+0BA4><U+0BAE><U+0BBF><U+0BB4><U+0B95><U+0BAE><U+0BCD> <U+0B92><U+0BB0><U+0BC1> <U+0B86><U+0BA9><U+0BCD><U+0BAE><U+0BBE><U+0BB5><U+0BC8> <U+0B8E><U+0BAA><U+0BCD><U+0BAA><U+0B9F><U+0BBF><U+0BAF><U+0BC6><U+0BB2><U+0BCD><U+0BB2><U+0BBE><U+0BAE><U+0BCD> <U+0BA8><U+0BC7><U+0B9A><U+0BBF><U+0B95><U+0BCD><U+0B95><U+0BC1><U+0BAE><U+0BCD> <U+0B8E><U+0BA9><U+0BCD><U+0BAA><U+0BA4><U+0BC1> <U+0BA8><U+0BAE><U+0BCD> <U+0B95><U+0BCA><U+0BA3><U+0BCD><U+0B9F><U+0BBE><U+0B9F><U+0BCD><U+0B9F> <U+0BB5><U+0B9F><U+0BBF><U+0BB5><U+0B99><U+0BCD><U+0B95><U+0BB3><U+0BBF><U+0BB2><U+0BCD> <U+0BA4><U+0BC6><U+0BB0><U+0BBF><U+0BAF><U+0BC1><U+0BAE><U+0BCD>. Contractor Nesamani <U+0B85><U+0BA8><U+0BCD><U+0BA4> <U+0BB5><U+0B95><U+0BC8>.…",FALSE,0,NA,2019-05-31 03:16:26,FALSE,NA,"1134297558329614337",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Karunan87653459",714,TRUE,FALSE,NA,NA
"2243","RT @RedmiIndia: While the world prays for #Nesamani, we only wish he had a #RedmiNote7Pro. Hammers, walnuts and what not, #GorillaGlass5's…",FALSE,0,NA,2019-05-31 03:16:02,FALSE,NA,"1134297455535710208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Samarji66806518",553,TRUE,FALSE,NA,NA
"2244","Watch from 2:40 for the Malayalam version of Nesamani. Malayalam actor Jagathy Sreekumar as Lasar Ilayappan.… https://t.co/mDK4V3GECb",FALSE,1,NA,2019-05-31 03:16:02,TRUE,NA,"1134297454386401280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anish_thampi",0,FALSE,FALSE,NA,NA
"2245","RT @pasakrapayapula: @gayathriraguram <U+0B95><U+0BBE><U+0BA3><U+0BCD><U+0B9F><U+0BBE><U+0BAF><U+0BBF><U+0B9F><U+0BCD><U+0B9F><U+0BBE><U+0B9F><U+0BBE> <U+0B87><U+0BA8><U+0BCD><U+0BA4> <U+0B95><U+0BBE><U+0BA3><U+0BCD><U+0B9F><U+0BBE><U+0BAE><U+0BBF><U+0BB0><U+0BC1><U+0B95><U+0BAE><U+0BCD> :-) #Pray_For_Nesamani #PrayForNesamani https://t.co/O2v4QNXe9H",FALSE,0,NA,2019-05-31 03:15:52,FALSE,NA,"1134297414938980353",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AktharAashiq",10,TRUE,FALSE,NA,NA
"2246","Complete lack of sincerity and absolute disregard for safety regulations are the reason for this.
#pray_for_nesamani",FALSE,0,NA,2019-05-31 03:15:40,FALSE,NA,"1134297363361615873",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Meemam7795",1,FALSE,FALSE,NA,NA
"2247","RT @ThalapathiSuma1: A kind and pleading request<U+0001F629><U+0001F625><U+0001F64F>

Please use this tag

#SRMcollegesuicudes 

Trend it<U+0001F64F><U+0001F64F><U+0001F64F>

TN media is deviating us by us…",FALSE,0,NA,2019-05-31 03:15:19,FALSE,NA,"1134297278053736451",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hemanthsundram",71,TRUE,FALSE,NA,NA
"2248","RT @priyaanandology: I will forever be thankful to @PriyaAnand for providing us with some of the funniest facial expressions ever <U+0001F602>
#Nesama…",FALSE,0,NA,2019-05-31 03:15:11,FALSE,NA,"1134297242112626689",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Anandrock321",20,TRUE,FALSE,NA,NA
"2249","Instead of #Pray_for_Nesamani spread the word #WhereIsMugilan??? https://t.co/lxLXOxDwiU",FALSE,1,NA,2019-05-31 03:15:10,FALSE,NA,"1134297236337094657",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vnkthsn",1,FALSE,FALSE,NA,NA
"2250","RT @RohiniSilverScr: #NGK 4AM show is pushed to 5.30AM due to accident caused yesterday at Jameen palace to contractor #Nesamani . Let’s al…",FALSE,0,NA,2019-05-31 03:15:08,FALSE,NA,"1134297229177450498",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChakaravarthyJt",866,TRUE,FALSE,NA,NA
"2251","RT @StarSportsTamil: <U+0B95><U+0BBE><U+0BA9><U+0BCD><U+0B9F><U+0BB0><U+0BBE><U+0B95><U+0BCD><U+0B9F><U+0BB0><U+0BCD> #Nesamani,  <U+0B89><U+0B9F><U+0BAE><U+0BCD><U+0BAA><U+0BC1> <U+0B9A><U+0BB0><U+0BBF> <U+0B87><U+0BB2><U+0BCD><U+0BB2><U+0BBE><U+0BAE> <U+0BAA><U+0BCB><U+0BAF><U+0BBF><U+0B9F><U+0BCD><U+0B9F><U+0BBE><U+0BAA><U+0BCD><U+0BB2>, #CricketOdaCrown <U+0B90> <U+0B9C><U+0BC6><U+0BAF><U+0BBF><U+0B9A><U+0BCD><U+0B9A><U+0BBE> <U+0B9A><U+0BB0><U+0BBF> <U+0B86><U+0B95><U+0BBF><U+0B9F><U+0BC1><U+0BB5><U+0BBE><U+0BAA><U+0BCD><U+0BB2>..!

<U+0B85><U+0BA4><U+0BA9><U+0BBE><U+0BB2> <U+0001F3C6><U+0B90> <U+0B9C><U+0BC6><U+0BAF><U+0BBF><U+0B9A><U+0BCD>…",FALSE,0,NA,2019-05-31 03:15:03,FALSE,NA,"1134297210332434432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gowthaman0421",1124,TRUE,FALSE,NA,NA
"2252","RT @CCTPolice_Alert: Prayers work, Helmets work better #pray_for_nesamani #nesamani #wearhelmets #follow_traffic_rules https://t.co/PTUjKmT…",FALSE,0,NA,2019-05-31 03:14:16,FALSE,NA,"1134297011618926592",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","saravana2u",566,TRUE,FALSE,NA,NA
"2253","RT @vairav2906: A kind and pleading request<U+0001F629><U+0001F625><U+0001F64F>

Please use this tag

#SRMcollegesuicudes 

Trend it<U+0001F64F><U+0001F64F><U+0001F64F>

TN media is deviating us by using…",FALSE,0,NA,2019-05-31 03:14:15,FALSE,NA,"1134297009337200640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gopikongudynast",254,TRUE,FALSE,NA,NA
"2254","RT @StarSportsTamil: <U+0B95><U+0BBE><U+0BA9><U+0BCD><U+0B9F><U+0BB0><U+0BBE><U+0B95><U+0BCD><U+0B9F><U+0BB0><U+0BCD> #Nesamani,  <U+0B89><U+0B9F><U+0BAE><U+0BCD><U+0BAA><U+0BC1> <U+0B9A><U+0BB0><U+0BBF> <U+0B87><U+0BB2><U+0BCD><U+0BB2><U+0BBE><U+0BAE> <U+0BAA><U+0BCB><U+0BAF><U+0BBF><U+0B9F><U+0BCD><U+0B9F><U+0BBE><U+0BAA><U+0BCD><U+0BB2>, #CricketOdaCrown <U+0B90> <U+0B9C><U+0BC6><U+0BAF><U+0BBF><U+0B9A><U+0BCD><U+0B9A><U+0BBE> <U+0B9A><U+0BB0><U+0BBF> <U+0B86><U+0B95><U+0BBF><U+0B9F><U+0BC1><U+0BB5><U+0BBE><U+0BAA><U+0BCD><U+0BB2>..!

<U+0B85><U+0BA4><U+0BA9><U+0BBE><U+0BB2> <U+0001F3C6><U+0B90> <U+0B9C><U+0BC6><U+0BAF><U+0BBF><U+0B9A><U+0BCD>…",FALSE,0,NA,2019-05-31 03:14:01,FALSE,NA,"1134296950453354496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChakaravarthyJt",1124,TRUE,FALSE,NA,NA
"2255","RT @SchwingIndia: Safety is a choice you make.

#schwingstetterindia
#nesamani #prayfornesamani #Pray_For_Nesamani 

@SakthikumarVG https:/…",FALSE,0,NA,2019-05-31 03:13:58,FALSE,NA,"1134296936868065283",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","karthik018",12,TRUE,FALSE,NA,NA
"2256","RT @ThalapathiSuma1: A kind and pleading request<U+0001F629><U+0001F625><U+0001F64F>

Please use this tag

#SRMcollegesuicudes 

Trend it<U+0001F64F><U+0001F64F><U+0001F64F>

TN media is deviating us by us…",FALSE,0,NA,2019-05-31 03:13:50,FALSE,NA,"1134296901870804992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gopikongudynast",71,TRUE,FALSE,NA,NA
"2257","RT @DAppartments: We regularly practice safety precautions and facilitate complete protection for our craftsmen on every Construction site.…",FALSE,0,NA,2019-05-31 03:13:49,FALSE,NA,"1134296899693887488",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RNDYjones",79,TRUE,FALSE,NA,NA
"2258","RT @StarSportsTamil: <U+0B95><U+0BBE><U+0BA9><U+0BCD><U+0B9F><U+0BB0><U+0BBE><U+0B95><U+0BCD><U+0B9F><U+0BB0><U+0BCD> #Nesamani,  <U+0B89><U+0B9F><U+0BAE><U+0BCD><U+0BAA><U+0BC1> <U+0B9A><U+0BB0><U+0BBF> <U+0B87><U+0BB2><U+0BCD><U+0BB2><U+0BBE><U+0BAE> <U+0BAA><U+0BCB><U+0BAF><U+0BBF><U+0B9F><U+0BCD><U+0B9F><U+0BBE><U+0BAA><U+0BCD><U+0BB2>, #CricketOdaCrown <U+0B90> <U+0B9C><U+0BC6><U+0BAF><U+0BBF><U+0B9A><U+0BCD><U+0B9A><U+0BBE> <U+0B9A><U+0BB0><U+0BBF> <U+0B86><U+0B95><U+0BBF><U+0B9F><U+0BC1><U+0BB5><U+0BBE><U+0BAA><U+0BCD><U+0BB2>..!

<U+0B85><U+0BA4><U+0BA9><U+0BBE><U+0BB2> <U+0001F3C6><U+0B90> <U+0B9C><U+0BC6><U+0BAF><U+0BBF><U+0B9A><U+0BCD>…",FALSE,0,NA,2019-05-31 03:13:40,FALSE,NA,"1134296861047574528",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","skrsudhakar",1124,TRUE,FALSE,NA,NA
"2259","RT @Abilash24523122: What happened to the people..<U+0001F630>
#SRMcollegesuicudes or #Pray_For_Nesamani https://t.co/PdSMWRsDAC",FALSE,0,NA,2019-05-31 03:13:35,FALSE,NA,"1134296841925693441",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gopikongudynast",68,TRUE,FALSE,NA,NA
"2260","RT @Abilash24523122: What happened to the people..<U+0001F630>
#SRMcollegesuicudes or #Pray_For_Nesamani https://t.co/PdSMWRsDAC",FALSE,0,NA,2019-05-31 03:13:04,FALSE,NA,"1134296710274928640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","9m8h21bVsEGTlA5",68,TRUE,FALSE,NA,NA
"2261","<U+0BAA><U+0BCB><U+0B9F><U+0BBE> <U+0B85><U+0B99><U+0BCD><U+0B95><U+0BC1><U+0B9F><U+0BCD><U+0B9F><U+0BC1> <U+0BA8><U+0BBE><U+0B99><U+0BCD><U+0B95><U+0BB3><U+0BC7> <U+0BA8><U+0BC7><U+0B9A><U+0BAE><U+0BA3><U+0BBF><U+0B95><U+0BCD><U+0B95><U+0BC1> <U+0B8E><U+0BA9><U+0BCD><U+0BA9><U+0BBE><U+0B9A><U+0BCD><U+0B9A><U+0BC1><U+0BA9><U+0BCD><U+0BA9><U+0BC1> <U+0BA4><U+0BC6><U+0BB1><U+0BBF><U+0BAF><U+0BBE><U+0BAE> <U+0B87><U+0BB0><U+0BC1><U+0B95><U+0BCD><U+0B95><U+0BCB><U+0BAE><U+0BCD> <U+0B87><U+0BAA><U+0BCD><U+0BAA> <U+0BB5><U+0BA8><U+0BCD><U+0BA4><U+0BC1> <U+0BAA><U+0BA4><U+0BB5><U+0BBF> <U+0B8F><U+0B95><U+0BCD><U+0B95><U+0BBF><U+0BB1><U+0BC7><U+0BA9><U+0BCD> <U+0BB9><U+0BC8><U+0B95><U+0BCB><U+0BB0><U+0BCD><U+0B9F><U+0BCD><U+0B9F> <U+0B8F><U+0B95><U+0BCD><U+0B95><U+0BBF><U+0BB1><U+0BC7><U+0BA9><U+0BCD><U+0B95><U+0BBF><U+0B9F><U+0BCD>… https://t.co/byi7G37ThQ",FALSE,1,NA,2019-05-31 03:12:54,TRUE,NA,"1134296668235374592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vignesh04740800",0,FALSE,FALSE,NA,NA
"2262","RT @ThalapathiSuma1: A kind and pleading request<U+0001F629><U+0001F625><U+0001F64F>

Please use this tag

#SRMcollegesuicudes 

Trend it<U+0001F64F><U+0001F64F><U+0001F64F>

TN media is deviating us by us…",FALSE,0,NA,2019-05-31 03:12:45,FALSE,NA,"1134296632009211905",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sudarvanan",71,TRUE,FALSE,NA,NA
